step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,acc_x,acc_y,acc_z,heading_x,heading_y,heading_z,dist_to_obs,margin,collision,dist_to_target,progress_pct,depth_valid_pct
29,1.9333,-7.5823,2.4512,5.7139,-1.4868,-2.4030,0.4884,2.8677,-0.5680,-0.3192,0.2337,-0.5363,-0.8286,-0.1606,1.6890,0.1732,0,0.7196,73.89,100.00
30,2.0000,-7.6827,2.2903,5.7469,-1.5120,-2.4035,0.5029,2.8838,-0.1878,0.3021,0.2004,-0.5439,-0.8340,-0.0930,1.7168,0.1732,0,0.5283,80.83,100.00
31,2.0667,-7.7839,2.1308,5.7809,-1.5137,-2.3642,0.5151,2.8542,0.1378,0.8768,0.1679,-0.5491,-0.8354,-0.0237,1.7615,0.1732,0,0.3389,87.70,66.44
32,2.1333,-7.8845,1.9751,5.8156,-1.4913,-2.2885,0.5224,2.7810,0.5356,1.3969,0.0489,-0.5520,-0.8329,0.0404,1.8206,0.1732,0,0.1591,94.23,1.43
33,2.2000,-7.9827,1.8256,5.8505,-1.4448,-2.1821,0.5234,2.6689,0.8569,1.7948,-0.0190,-0.5532,-0.8274,0.0970,1.8874,0.1732,0,0.0799,97.10,0.00
34,2.2667,-8.0771,1.6841,5.8854,-1.3799,-2.0529,0.5192,2.5274,1.0915,2.0816,-0.1058,-0.5534,-0.8200,0.1462,1.9452,0.1732,0,0.2241,91.87,0.00
35,2.3333,-8.1667,1.5519,5.9198,-1.2988,-1.9030,0.5080,2.3594,1.3399,2.4135,-0.2292,-0.5533,-0.8116,0.1878,1.9888,0.1732,0,0.3830,86.11,0.00
36,2.4000,-8.2503,1.4304,5.9531,-1.2043,-1.7381,0.4887,2.1703,1.4954,2.5347,-0.3497,-0.5536,-0.8035,0.2189,2.0250,0.1732,0,0.5325,80.68,0.00
37,2.4667,-8.3273,1.3202,5.9849,-1.1032,-1.5663,0.4631,1.9710,1.5371,2.6191,-0.4185,-0.5550,-0.7962,0.2411,2.0688,0.1732,0,0.6698,75.70,0.00
38,2.5333,-8.3974,1.2216,6.0149,-1.0003,-1.3881,0.4312,1.7644,1.5515,2.7280,-0.5380,-0.5574,-0.7894,0.2572,2.1085,0.1732,0,0.7940,71.19,0.00
